"","Q35"
"1","Podría ser más efectiva al incluir ejemplos concretos de cómo la salud bucal afecta la salud general y el bienestar diario de las personas.                                                                                                                 "
"2","nada esta muy buena                                                                                                                                                                                                                                            "
"3","Nada                                                                                                                                                                                                                                                           "
"4","Nada                                                                                                                                                                                                                                                           "
"5","Comfiable                                                                                                                                                                                                                                                      "
"6","Ademas de mostrar la joven en el transporte público, mostrará otras opciones que muestre la efectividad de la crema dental Fluocardent.                                                                                                                      "
"7","La mujer durmiendo en el bus                                                                                                                                                                                                                                   "
"8","nada                                                                                                                                                                                                                                                           "
"9","No cambiaría nada                                                                                                                                                                                                                                             "
"10","nada                                                                                                                                                                                                                                                           "
"11","Está perfecta porque es lo real lo cotidiano me identifico con el comercial                                                                                                                                                                                   "
"12","Ninguna cosa cambiaría                                                                                                                                                                                                                                        "
"13","No le cambiaría nada                                                                                                                                                                                                                                          "
"14","Nada en particular                                                                                                                                                                                                                                             "
"15","Nada en absoluto                                                                                                                                                                                                                                               "
"16","Nada me gusta todo lo que percibo                                                                                                                                                                                                                              "
"17","NADA TODO  ME ENCANTO                                                                                                                                                                                                                                          "
"18","No cambiaría nada.                                                                                                                                                                                                                                            "
"19","Nada                                                                                                                                                                                                                                                           "
"20","Nada esta bien                                                                                                                                                                                                                                                 "
"21","Pues el mensaje de la boca por uno mas claro y cvonsiso                                                                                                                                                                                                        "
"22","nada                                                                                                                                                                                                                                                           "
"23","Nada todo bien                                                                                                                                                                                                                                                 "
"24","nada                                                                                                                                                                                                                                                           "
"25","NADA                                                                                                                                                                                                                                                           "
"26","Me pareció buena una idea diferente cotidiana que suele pasar                                                                                                                                                                                                 "
"27","Nada                                                                                                                                                                                                                                                           "
"28","Nada me.encanta                                                                                                                                                                                                                                                "
"29","Nada. Todo está bien                                                                                                                                                                                                                                          "
"30","La.persoma.durmiendo. puede ser una persona en un evento riendose                                                                                                                                                                                              "
"31","Que no sea inteligencia artificial, lo real es mejor                                                                                                                                                                                                           "
"32","nada                                                                                                                                                                                                                                                           "
